date,entry_time,exit_time,ce_entry,pe_entry,ce_exit,pe_exit,exit_reason,PnL
2021-04-01,09:30:59,2021-04-01 10:54:59,46.5,56.65,15.0,99.75,SL_HIT,-944.9999999999995
2021-04-05,09:30:59,2021-04-05 10:01:59,125.85,160.55,75.0,246.8,SL_HIT,-2730.0000000000027
2021-04-06,09:30:59,2021-04-06 15:14:59,102.4,129.65,71.8,129.0,MARKET_CLOSE,2268.75
2021-04-07,09:30:59,2021-04-07 15:14:59,68.8,129.25,79.35,55.7,MARKET_CLOSE,4650.0
2021-04-08,09:30:59,2021-04-08 14:59:59,32.75,56.0,0.7,107.8,SL_HIT,-1556.25
2021-04-09,09:30:59,2021-04-09 15:14:59,150.0,159.0,126.0,133.85,MARKET_CLOSE,3611.249999999998
2021-04-13,09:30:59,2021-04-13 15:14:59,119.0,102.75,186.05,35.6,MARKET_CLOSE,-67.50000000000043
2021-04-15,09:30:59,2021-04-15 09:37:59,58.0,44.8,22.9,98.35,SL_HIT,-1458.7500000000002
2021-04-16,09:30:59,2021-04-16 14:45:59,193.6,445.65,224.45,199.7,MARKET_CLOSE,16057.500000000002
2021-04-20,09:30:59,2021-04-20 15:11:59,279.1,254.15,185.6,360.0,MARKET_CLOSE,-1001.2500000000017
2021-04-22,09:30:59,2021-04-22 15:07:59,258.55,282.05,361.4,212.8,MARKET_CLOSE,-2595.000000000002
2021-04-23,09:30:59,2021-04-23 15:14:59,290.9,249.95,282.6,236.15,MARKET_CLOSE,1582.4999999999932
2021-04-26,09:30:59,2021-04-26 15:13:59,219.65,254.7,195.75,253.15,MARKET_CLOSE,1833.7500000000034
2021-04-27,09:30:59,2021-04-27 15:14:59,177.95,247.0,223.45,171.55,MARKET_CLOSE,2171.249999999999
2021-04-28,09:30:59,2021-04-28 13:15:59,177.3,177.2,255.1,137.5,SL_HIT,-2932.500000000002
2021-04-29,09:30:59,2021-04-29 10:03:59,151.75,180.0,119.25,246.3,SL_HIT,-2610.000000000001
2021-04-30,09:30:59,2021-04-30 15:14:59,158.2,197.3,87.8,281.65,MARKET_CLOSE,-1121.249999999999
